ردیف,رسته,شماره جواز,مدیر واحد صنفی,تلفن 1,تلفن 2,نشانی
11,خرده فروشي سکه طلا,۱۴۰۳۶۵۳۶۳۷,شکوفه  ملکان,۴۴۰۳۵۱۰۵,۴۴۲۶۸۴۳۶,"آدرس:  بزرگراه  ستاری  جنب  خیابان  پیامبر  پاساژ  کورش
پلاک  آبی:
کد  پستی:  ۱۴۷۳۶۱۱۳۲۳"
12,خرده فروشي سکه طلا,۱۴۰۳۸۷۳۷۴۸,سیدحسین	رحیمی اردستانی,۷۷۸۶۰۵۲۳,۴۴۲۶۸۴۳۶,"آدرس:  تهرانپارس  چهارراه  تیرانداز
پلاک  آبی:
کد  پستی:  ۱۶۵۳۹۹۸۹۳۷"
13,خرده فروشي سکه طلا,۱۴۰۳۰۶۲۹۷۱,مهسا	آمیزطبع,۲۲۸۸۲۶۰۲,۴۴۲۶۸۴۳۶,"آدرس:  خیابان  شریعتی  بالاتر  از  میرداماد  روبروی  ابستگاه  مترو  شریعتی  پاساژ  مینا
پلاک  آبی:
کد  پستی:  ۱۹۴۸۸۴۵۳۶۳"
14,خرده فروشي سکه طلا,۰۴۶۶۷۹۳۲۷۵,پیمان  انتصاری,۲۲۲۵۳۹۶۱,۲۲۲۷۷۵۶۶,"آدرس:  بلوار  میرداماد  میدان  محسنی  پاساژ  محسنی
پلاک  آبی:
کد  پستی:  ۱۵۴۷۹۳۴۸۴۱"
15,خرده فروشي سکه طلا,۰۴۶۵۹۸۰۹۸۶,علیرضا  فضلعلی,۵۵۵۹۸۲۳۶,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  ۱۵  خرداد  بازار  سبزه  میدان  زیرزمین  سبزه  میدان
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۱۵۸"
16,خرده فروشي سکه طلا,۱۴۰۳۵۹۹۷۱۶,حمید	قاره,۶۶۷۲۹۸۸۰,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  فردوسی  جنوبی  روبروی  سفارت  ترکیه
پلاک  آبی:
کد  پستی:  ۱۱۳۵۹۳۷۵۴۹"
17,خرده فروشي سکه طلا,۱۴۰۳۶۵۲۸۲۷,غلامعباس	خ کریمی,۵۵۶۲۵۶۳۶,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  ۱۵  خرداد  سبزه  میدان  مرکزخرید  طلا  وجواهر  تهران  (خازنی)
پلاک  آبی:
کد  پستی:  ۱۱۶۱۸۳۷۵۳۱"
18,خرده فروشي سکه طلا,۱۴۰۳۶۲۲۹۶۱,حسن راسق قزلباش,۶۶۳۴۱۷۹۷,۲۲۲۷۷۵۶۶,"آدرس:  میدان  فردوس  مجتمع  تجارت  جهانی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۸۳۶۷۹"
19,خرده فروشي سکه طلا,۱۴۰۳۸۷۱۲۲۷,الهه	آوازه,۳۳۸۲۸۲۷۰,۲۲۲۷۷۵۶۶,"آدرس:  ۲۰متری  افسریه  بین۱۵متری  اول  واتوبان  بازاربزرگ  مروارید
پلاک  آبی:
کد  پستی:  ۱۷۸۴۶۷۳۵۳۱"
20,خرده فروشي سکه طلا,۰۴۶۶۵۶۹۵۳۶,محمد  شهرابی,۲۲۲۵۳۶۹۴,۲۲۲۷۷۵۶۶,"آدرس:  میرداماد  نرسیده  به  میدان  مادر  پاساژ  آرش
پلاک  آبی:
کد  پستی:  ۱۵۴۷۹۳۴۴۴۵"
21,خرده فروشي سکه طلا,۰۴۶۶۹۳۳۵۷۶,سعید	محمودی,۵۵۶۲۰۴۹۰,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  پانزده  خرداد  بازاربزرگ  پاساژگلدسنتر
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۵۷۷۴۹"
22,خرده فروشي سکه طلا,۱۴۰۳۵۲۶۶۰۳,امیر	راثی اعتمادی,۳۳۸۷۴۶۰۷,۲۲۲۷۷۵۶۶,"آدرس:  شهرک  مسعودیه  نبش  چهارراه  دوم
پلاک  آبی:
کد  پستی:  ۱۷۸۷۸۸۶۶۵۳"
23,خرده فروشي سکه طلا,۰۴۱۴۰۴۹۴۴۷,سیامک  معمارباشی,۴۴۲۵۲۹۰۱,۲۲۲۷۷۵۶۶,"آدرس:  بین  فلکه  اول  و  دوم  صادقیه  پاساژ  شبنم
پلاک  آبی:
کد  پستی:  ۱۴۵۱۷۹۳۸۳۶"
24,خرده فروشي سکه طلا,۰۴۶۵۹۹۶۴۸۷,مهدی زموده,۷۷۷۱۹۷۶۲,۲۲۲۷۷۵۶۶,"آدرس:  تهرانپارس  فلکه  دوم  نبش  ۱۶۶  غربی  پاساژ  نگین  شرق
پلاک  آبی:
کد  پستی:  ۱۶۵۳۹۹۵۳۴۶"
25,خرده فروشي سکه طلا,۰۴۶۶۴۹۲۹۸۵,غلامرضا حاتمی,۴۴۲۶۳۴۲۷,۲۲۲۷۷۵۶۶,"آدرس:  ستارخان  بین  فلکه  اول  و  دوم  صادقیه  پاساژ  ولیعصر  پلاک  ۷۶۳  همکف  واحد  ۳۵
پلاک  آبی:
کد  پستی:  ۱۴۵۱۶۳۶۵۶۴"
26,خرده فروشي سکه طلا,۱۴۰۳۶۷۹۱۶۳,علی	خانی,۷۷۹۰۴۴۴۰,۲۲۲۷۷۵۶۶,"آدرس:  تهران  نو  پاساژ  شرق  تهران
پلاک  آبی:
کد  پستی:  ۱۶۴۶۸۱۸۸۶۸"
27,خرده فروشي سکه طلا,۱۴۰۳۵۸۴۹۷۰,نازیلا	عظیمی خوشمهر,۶۶۳۴۰۸۷۴,۲۲۲۷۷۵۶۶,"آدرس:  میدان  فردوسی  ساختمان  تجارت  جهانی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۸۴۱۵۷"
28,خرده فروشي سکه طلا,۱۴۰۳۶۱۳۸۱۴,سرمد	خواستار,۰۲۱۳۳۵۶۱۲۲۷,۲۲۲۷۷۵۶۶,"آدرس:  میدان  خراسان  پاساژ  خراسان
پلاک  آبی:
کد  پستی:  ۱۱۷۶۸۳۶۳۴۶"
29,خرده فروشي سکه طلا,۰۴۱۴۱۷۳۷۵۲,کامران  آفتابی,۵۵۱۵۶۶۰۶,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  ۱۵  خرداد  نبش  بازار  بزرگ
پلاک  آبی:
کد  پستی:  ۱۱۶۱۶۵۵۹۹۱"
30,خرده فروشي سکه طلا,۱۴۰۳۱۸۴۱۰۱,حسین غلامی پویا,,۲۲۲۷۷۵۶۶,"آدرس:  تهران  امامزاده  حسن  مجتمع  دیاموند
پلاک  آبی:
کد  پستی:  ۱۳۵۸۸۱۴۳۲۸"
31,خرده فروشي سکه طلا,۱۴۰۳۱۹۴۰۳۹,آذر	زنجیردار,۴۴۴۹۸۱۴۷,۲۲۲۷۷۵۶۶,"آدرس:  میدان  پونک  پاساژ  بوستان  راهروی  انتظامات
پلاک  آبی:
کد  پستی:  ۱۴۷۶۸۹۵۴۷۹"
32,خرده فروشي سکه طلا,۱۴۰۳۳۳۸۰۸۴,محمد  یاسر ملا,۰۲۱۴۴۲۳۲۶۷۶,۲۲۲۷۷۵۶۶,"آدرس:  ستارخان  بین  فلکه  اول  و  دوم  پاساژ  شب  تاب
پلاک  آبی:
کد  پستی:  ۱۴۵۱۶۳۳۸۶۶"
33,خرده فروشي سکه طلا,۱۴۰۳۴۲۵۷۰۴,جاسم ملک حسینی,۰۲۱۳۶۹۱۶۹۱۵,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  ناصرخسرو  پاساژشمس  العماره
پلاک  آبی:
کد  پستی:  ۱۱۱۴۹۴۵۰۹۲"
34,خرده فروشي سکه طلا,۱۴۰۳۹۰۶۴۸۱,محمد امین	خدادادی,۷۷۷۳۲۰۵۲,۲۲۲۷۷۵۶۶,"آدرس:  فلکه  دوم  تهرانپارس  خیابان  فرجام  شرقی  بین  گلشنی  وآهنی  آمینه
پلاک  آبی:
کد  پستی:  ۱۶۵۳۹۶۸۹۸۱"
35,خرده فروشي سکه طلا,۱۴۰۳۵۱۹۳۱۲,داود	ملک پور,۴۴۶۰۷۷۶۷,۲۲۲۷۷۵۶۶,"آدرس:  جنت  آباد  مرکزی  بالاتر  از  همت  مجتمع  تجاری  طوبی
پلاک  آبی:
کد  پستی:  ۱۴۷۵۶۳۸۷۵۴"
36,خرده فروشي سکه طلا,۱۴۰۳۱۰۷۱۹۱,محمد  سعیدی,۳۶۹۱۶۹۰۶,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  ناصر  خسرو  روبروی  کوچه  مروی  پاساژ  شمس  العماره
پلاک  آبی:
کد  پستی:  ۱۱۱۴۹۴۵۰۲۶"
37,خرده فروشي سکه طلا,۱۴۰۳۰۹۷۲۳۲,علی	شهسواری علویچه,۵۵۵۹۷۸۵۵,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  ۱۵  خرداد  بازار  بزرگ  پاساژرضا
پلاک  آبی:
کد  پستی:  ۱۱۶۱۹۶۴۵۷۱"
38,خرده فروشي سکه طلا,۱۴۰۳۸۹۷۵۱۷,زهره	پيرزاده,,۲۲۲۷۷۵۶۶,"آدرس:  سعادت  آباد  ميدان  کاج  ضلع  شمال  شرقي  پاساژ  کسري
پلاک  آبی:
کد  پستی:  ۱۹۹۸۶۱۳۱۶۶"
39,خرده فروشي سکه طلا,۰۴۶۶۵۵۳۵۱۴,محمد	سعادت,۴۴۲۶۸۰۴۱,۲۲۲۷۷۵۶۶,"آدرس:  بین  فلکه  اول  و  دوم  صادقیه  نبش  پاساژ  شبنم
پلاک  آبی:
کد  پستی:  ۱۴۵۱۷۹۳۸۶۳"
40,خرده فروشي سکه طلا,۱۴۰۳۸۴۳۱۲۳,محمد	گل محمد واسفجانی,۷۷۹۴۲۴۰۰,۲۲۲۷۷۵۶۶,"آدرس:  میدان  نبوت  کوچه  امام  زمان
پلاک  آبی:
کد  پستی:  ۱۶۴۹۹۶۴۵۸۲"
41,خرده فروشي سکه طلا,۱۴۰۳۳۱۴۲۵۷,محسن  کردی,,۲۲۲۷۷۵۶۶,"آدرس:  میدان  پونک  پاساژ  بوستان  راهروی  انتظامات
پلاک  آبی:
کد  پستی:  ۱۴۷۶۸۹۵۴۷۵"
42,خرده فروشي سکه طلا,۱۴۰۳۹۳۵۴۸۹,محمود	کردی,,۲۲۲۷۷۵۶۶,"آدرس:  میدان  پونک  پاساژ  بوستان  راهروی  انتظامات
پلاک  آبی:
کد  پستی:  ۱۴۷۶۸۹۶۳۱۵"
43,خرده فروشي سکه طلا,۰۳۷۵۷۸۴۷۱۶,سهراب ملکی,۶۶۷۱۲۲۳۹,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  فردوسی  شمالی  بالاتر  از  شرکت  فرش
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۱۵۹۱۴"
44,خرده فروشي سکه طلا,۱۴۰۳۶۴۸۶۲۴,وحید	کوکبی حمید پور,۴۴۴۹۸۱۸۹,۲۲۲۷۷۵۶۶,"آدرس:  پونک  مجتمع  تجاری  بوستان  راهرو  اردیبهشت
پلاک  آبی:
کد  پستی:  ۱۴۷۶۸۹۶۱۳۴"
45,خرده فروشي سکه طلا,۱۴۰۳۶۹۰۳۲۱,محمد  گوهرنیک,۳۳۳۶۶۱۲۸,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  پیروزی  چهارراه  کوکا  کولاءپاساژکساء
پلاک  آبی:
کد  پستی:  ۱۷۶۵۶۹۳۳۳۹"
46,خرده فروشي سکه طلا,۱۴۰۳۸۶۱۸۴۵,علی	نورانی,۴۴۰۳۵۲۸۷,۲۲۲۷۷۵۶۶,"آدرس:  اتوبان  شهیدستاری  نبش  پیامبر  مجتمع  کورش
پلاک  آبی:
کد  پستی:  ۱۴۷۳۶۱۱۴۲۹"
47,خرده فروشي سکه طلا,۱۴۰۳۴۱۰۵۳۰,محمدرضا	ریاضی,۵۵۵۹۳۱۶۵,۲۲۲۷۷۵۶۶,"آدرس:  خیابان۱۵خرداد  زیرزمین  سبزه  میدان
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۳۳۳"
48,خرده فروشي سکه طلا,۰۴۶۶۷۴۹۰۷۲,احمدعلی	سرابی تبریزی,۴۴۰۳۵۱۹۰,۲۲۲۷۷۵۶۶,"آدرس:  اتوبان  شهید  ستاری  نبش  خیابان  پیامبر  مجتمع  تجاری  کورش
پلاک  آبی:
کد  پستی:  ۱۴۷۳۶۱۱۲۹۷"
49,خرده فروشي سکه طلا,۰۴۶۶۷۴۹۰۷۲,احمدعلی	سرابی تبریزی,۴۴۰۳۵۱۹۰,۲۲۲۷۷۵۶۶,"آدرس:  اتوبان  شهید  ستاری  نبش  خیابان  پیامبر  مجتمع  تجاری  کورش
پلاک  آبی:
کد  پستی:  ۱۴۷۳۶۱۱۲۹۷"
50,خرده فروشي سکه طلا,۰۴۶۶۷۶۰۹۴۷,بهروز	صمدزاده,۴۴۷۱۷۴۶۴,۲۲۲۷۷۵۶۶,"آدرس:  شهرک  راه  آهن  بلوارامیرکبیر  روبروی۱۸متری  اول  جنب  بانک  صادرات
پلاک  آبی:
کد  پستی:  ۱۴۹۳۶۵۳۵۸۱"
51,خرده فروشي سکه طلا,۱۴۰۳۸۰۴۷۲۳,محسن  عباسعلی,۳۳۹۷۵۴۰۶,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  جمهوری  بعد  از  چهاراه  مخبرالدوله  جنب  سینما  اروپا
پلاک  آبی:
کد  پستی:  ۱۱۴۳۹۱۶۴۱۱"
52,خرده فروشي سکه طلا,۱۴۰۳۷۵۵۲۳۱,سعید	رضاعلی,۶۶۷۳۴۷۳۴,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  فردوسی  جنوبی  روبروی  سفارت  ترکیه
پلاک  آبی:
کد  پستی:  ۱۱۳۵۹۳۷۵۶۶"
53,خرده فروشي سکه طلا,۱۴۰۳۵۷۱۳۵۴,ابوذر	خادمی,۶۶۳۴۰۷۷۹,۲۲۲۷۷۵۶۶,"آدرس:  خیابان  فردوسی  شمالی  مجتمع  تجارت  جهانی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۸۳۶۵۳"
54,خرده فروشي سکه طلا,۰۱۳۵۱۳۳۶۲۴,محمد محمدی,۵۵۶۱۶۳۳۶,۵۵۵۹۸۲۳۵,"آدرس:  خیابان  پانزده  خرداد  سبزه  میدان  پاساژ  طلاو  جواهر
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۱۷۳"
55,خرده فروشي سکه طلا,۰۴۶۶۸۲۶۰۰۷,حمید	فتحی,۸۸۰۸۸۳۹۰,۵۵۵۹۸۲۳۵,"آدرس:  شهرک  غرب  بلوار  دادمان  خیابان  درختی  پاساژ  سپهر
پلاک  آبی:
کد  پستی:  ۱۴۶۸۸۱۳۳۶۶"
56,خرده فروشي سکه طلا,۱۴۰۳۸۰۲۹۱۸,جواد	زارعی,۲۲۰۵۱۲۹۰,۵۵۵۹۸۲۳۵,"آدرس:  خیابان  ولی  عصر  بالاتر  از  نیایش  نبش  کوچه  آرامش
پلاک  آبی:
کد  پستی:  ۱۹۶۷۷۵۵۸۷۱"
57,خرده فروشي سکه طلا,۱۴۰۳۰۶۶۸۲۷,رضا	جعفری,۴۴۹۷۶۱۷۰,۵۵۵۹۸۲۳۵,"آدرس:  فردوش  شرق  نبش  وفا  آذر  جنوبی  پاساژ  آیریک  سنتر
پلاک  آبی:
کد  پستی:  ۱۴۸۱۹۶۹۸۱۸"
58,خرده فروشي سکه طلا,۰۰۲۹۱۴۶۲۳۰,سیدمحمود	سادات مظلوم حسینی سنگجوئی,۴۴۶۴۳۲۶۲,۴۴۶۶۹۸۹۴,"آدرس:  شهرک  اکباتان  فاز  یک  سوپر  ۳  راهروی  اصلی
پلاک  آبی:
کد  پستی:  ۱۳۹۵۶۴۳۳۱۷"
59,خرده فروشي سکه طلا,۰۳۷۵۸۹۰۷۹۸,شکر خدا	سعیدی,۹,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  ۱۵  خرداد  سبزه  میدان  پاساژ  طلا  و  جواهر
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۳۷۵"
60,خرده فروشي سکه طلا,۱۴۰۳۶۷۳۷۷۴,سید شهرام	امین,۷۷۷۱۶۶۵۸,۵۵۵۹۸۴۷۸,"آدرس:  تهرانپارس  چهارراه  تیرانداز
پلاک  آبی:
کد  پستی:  ۱۶۵۳۹۹۸۹۳۹"
61,خرده فروشي سکه طلا,۰۴۶۶۸۰۵۵۶۶,فرامرز  اکبری هنجنی,۴۴۰۳۵۲۰۶,۵۵۵۹۸۴۷۸,"آدرس:  اتوبان  ستاری  نبش  پیامبر  مجتمع  تجاری  کورش
پلاک  آبی:
کد  پستی:  ۱۴۷۳۶۱۳۱۳۷"
62,خرده فروشي سکه طلا,۰۱۳۵۱۳۴۵۲۳,سعید	مشهدی,۸۸۱۰۱۹۲۵,۵۵۵۹۸۴۷۸,"آدرس:  میدان  آرژانتین  مرکزخریدآفریقا  همکف
پلاک  آبی:
کد  پستی:  ۱۵۱۳۹۱۴۵۳۸"
63,خرده فروشي سکه طلا,۱۴۰۳۰۵۶۲۴۳,علی	احمدی,۴۴۴۹۸۶۷۷,۵۵۵۹۸۴۷۸,"آدرس:  میدان  پونک  مرکز  تجاری  بوستان
پلاک  آبی:
کد  پستی:  ۱۴۷۶۸۹۵۴۸۶"
64,خرده فروشي سکه طلا,۱۴۰۳۰۷۴۲۲۵,اصغر	آسوده,۷۷۹۱۷۰۸۹,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  تهران  نو  ایستگاه  پل  مرکز  خرید  شرق
پلاک  آبی:
کد  پستی:  ۱۶۴۶۸۱۸۸۸۸"
65,خرده فروشي سکه طلا,۰۱۳۵۱۲۷۳۲۲,فرید	ادریسی,۵۵۶۱۶۳۹۰,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  پانزده  خرداد  زیرزمین  سبزه  میدان
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۱۸۴"
66,خرده فروشي سکه طلا,۱۴۰۳۳۷۱۸۵۹,امیر حسین  ظریف نیا,۶۶۳۴۰۹۱۴,۵۵۵۹۸۴۷۸,"آدرس:  میدان  فردوسی  مرکز  خرید  تجارت  جهانی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۸۳۷۲۳"
67,خرده فروشي سکه طلا,۱۴۰۳۳۷۲۸۶۱,محمد  محبوبی بنیس,۸۸۹۳۰۱۷۷,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  ولیعصر  پایینتر  از  مطهری  نبش  کوچه  ایرنا
پلاک  آبی:
کد  پستی:  ۱۵۹۵۶۴۳۱۱۴"
68,خرده فروشي سکه طلا,۱۴۰۳۲۸۵۹۸۶,میلاد	فرزاد مقدم,۳۳۷۱۲۴۰۳,۵۵۵۹۸۴۷۸,"آدرس:  میدان  خراسان  ابتدای  خاوران  پاساژ  امام  رضا
پلاک  آبی:
کد  پستی:  ۱۷۹۴۶۱۷۶۳۹"
69,خرده فروشي سکه طلا,۱۴۰۳۶۶۳۵۰۹,رامبد	نایب ولی همدانی,۳۶۹۱۶۱۴۹,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  ناصرخسرو  پاساژشمس  العماره
پلاک  آبی:
کد  پستی:  ۱۱۱۴۹۴۵۰۵۵"
70,خرده فروشي سکه طلا,۱۴۰۳۵۰۶۷۶۶,مجتبی اسماعیلی اوزان,۳۳۶۷۹۵۲۱,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  ۱۷شهریور  خیابان  ابن  سینا
پلاک  آبی:
کد  پستی:  ۱۷۱۹۹۷۴۶۴۶"
71,خرده فروشي سکه طلا,۱۴۰۳۵۲۰۱۷۴,امیرعباس	فضل اللهی,۷۷۴۳۵۶۴۰,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  پروزی  چهارراه  کوکاکولا  اول  ۲۱متری  دهقان
پلاک  آبی:
کد  پستی:  ۱۷۳۶۸۱۳۱۶۱"
72,خرده فروشي سکه طلا,۱۴۰۳۰۳۷۶۲۵,داود	بهروزی,,۵۵۵۹۸۴۷۸,"آدرس:  ستارخان  فلکه  اول  پاساژ  امیر
پلاک  آبی:
کد  پستی:  ۱۴۵۱۸۷۳۴۸۵"
73,خرده فروشي سکه طلا,۱۴۰۳۹۴۸۴۷۳,بابک	رحیمیان,۸۸۴۸۱۱۸۱,۵۵۵۹۸۴۷۸,"آدرس:  میدان  آرژانتین  کوچه  ۱۹  مرکز  خرید  آفریقا
پلاک  آبی:
کد  پستی:  ۱۵۱۳۹۱۴۵۳۶"
74,خرده فروشي سکه طلا,۱۴۰۳۹۸۰۱۰۷,حسام الدین	نوری بجندی,۶۶۲۱۲۱۵۱,۵۵۵۹۸۴۷۸,"آدرس:  شهرک  ولیعصر  خیابان  بهرامی
پلاک  آبی:
کد  پستی:  ۱۳۷۳۸۵۷۶۱۵"
75,خرده فروشي سکه طلا,۰۴۶۶۷۶۱۲۸۹,شهریار  میرزا خانی,۵۵۶۱۶۴۷۹,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  پانزده  خرداد  سبزه  میدان  پاساژ  طلا  و  جواهر
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۳۳۸"
76,خرده فروشي سکه طلا,۱۴۰۳۷۸۶۰۷۳,پریسا  غلامی,,۵۵۵۹۸۴۷۸,"آدرس:  بلوار  میرداماد  جنب  مسجد  الغدیر  پاساژ  پاسارگاد
پلاک  آبی:
کد  پستی:  ۱۹۱۱۶۱۸۸۸۴"
77,خرده فروشي سکه طلا,۱۴۰۳۵۸۴۵۴۰,حامد	خسروی آقا باقر,۳۳۸۳۷۶۳۶,۵۵۵۹۸۴۷۸,"آدرس:  افسریه  خ  ۲۰  متری  بین  ۱۵  متری  دو  م  و  سوم  پاساژ  الماس
پلاک  آبی:
کد  پستی:  ۱۷۸۴۸۷۶۸۱۷"
78,خرده فروشي سکه طلا,۱۴۰۳۳۷۷۲۲۱,امیر	یزدچی,۶۶۷۵۵۶۱۱,۵۵۵۹۸۴۷۸,"آدرس:  خیابان  جمهوری  اسلامی  بعد  از  چهارراه  استانبول  پاساژنوین
پلاک  آبی:
کد  پستی:  ۱۱۳۵۹۳۵۸۸۸"
79,خرده فروشي سکه طلا,۱۴۰۳۰۸۵۲۳۱,محمدعلی مهدی پور,۰۲۱۲۲۰۷۹۰۰۰,۵۵۵۹۸۴۷۸,"آدرس:  میدان  شهید  طهرانی  مقدم(کاج)  پاساژ  ابریشم
پلاک  آبی:
کد  پستی:  ۱۹۹۸۶۱۴۱۵۱"
80,خرده فروشي سکه طلا,۰۴۶۶۷۶۸۰۱۴,علیرضا	پیشدادیان,۸۸۱۰۶۹۱۶,۸۸۱۰۵۶۱۱,"آدرس:  خیابان  ولی  عصر  نرسیده  به  پارک  ساعی  برج  سرو  ساعی
پلاک  آبی:
کد  پستی:  ۱۴۳۳۸۹۴۵۱۸"
81,خرده فروشي سکه طلا,۱۴۰۳۰۰۲۹۰۷,لیلا	ورمزیار,۴۴۴۵۸۴۴۶,۸۸۱۰۵۶۱۱,"آدرس:  جنت  آباد  جنوبی  پایین  تر  چهارراه  لاله  پاساژ  الماس
پلاک  آبی:
کد  پستی:  ۱۴۷۳۹۴۳۰۵۱"
82,خرده فروشي سکه طلا,۱۴۰۳۵۹۷۷۵۷,لیلا	پازانی النجارقی,۷۷۷۵۹۳۱۷,۸۸۱۰۵۶۱۱,"آدرس:  خیابان  پیروزی  چهاراه  کوکا  کولا  پاساژ  پانوراما
پلاک  آبی:
کد  پستی:  ۱۷۳۶۸۱۳۳۶۱"
83,خرده فروشي سکه طلا,۱۴۰۳۰۰۶۸۷۷,رحیم	مرادی,۴۴۲۷۶۳۹۲,۸۸۱۰۵۶۱۱,"آدرس:  خیابان  ستارخان  بین  فلکه  اول  و  دوم  صادقیه  بلوار  شهدا  صادقیه  شمالی
پلاک  آبی:
کد  پستی:  ۱۴۵۱۶۳۳۱۳۸"
84,خرده فروشي سکه طلا,۱۴۰۳۱۰۶۰۰۹,محمود  ارغوانی,۸۸۳۴۰۳۵۰۹,۸۸۱۰۵۶۱۱,"آدرس:  خیابان  مطهری  ابتدای  خیابان  فجر
پلاک  آبی:
کد  پستی:  ۱۵۸۸۷۷۳۶۵۳"
